date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2023-09-24;Wales;Australia;40;6;2023 Rugby World Cup;Parc Olympique;Lyon;France;TRUE;TRUE;;;;;;;;;;
2023-09-23;South Africa;Ireland;8;13;2023 Rugby World Cup;Stade de France;Saint-Denis;France;TRUE;TRUE;;;;;;;;;;
2023-09-10;South Africa;Scotland;18;3;2023 Rugby World Cup;Stade Vélodrome;Marseille;France;TRUE;TRUE;;;;;;;;;;
2023-09-09;England;Argentina;27;10;2023 Rugby World Cup;Stade Vélodrome;Marseille;France;TRUE;TRUE;;;;;;;;;;
2023-09-08;France;New Zealand;27;13;2023 Rugby World Cup;Stade de France;Saint-Denis;France;FALSE;TRUE;;;;;;;;;;
2023-08-27;France;Australia;41;17;2023 Rugby World Cup warm-up match;Stade de France;Saint-Denis;France;FALSE;FALSE;Summer;16.2;12.3;20.9;0.2;;272.0;12.3;31.5;1012.7
2023-08-25;South Africa;New Zealand;35;7;2023 Rugby World Cup warm-up match;Twickenham Stadium;London;England;TRUE;FALSE;Summer;17.3;13.9;22.1;0.0;;280.0;12.1;39.0;1009.9
2023-08-19;Wales;South Africa;16;52;2023 Rugby World Cup warm-up match;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2023-08-19;Ireland;England;29;10;2023 Rugby World Cup warm-up match;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Summer;17.8;15.8;20.7;2.3;;200.0;27.8;86.0;1001.9
2023-08-12;England;Wales;19;17;2023 Summer Nations Series;Twickenham;London;England;FALSE;FALSE;Summer;18.3;13.7;22.6;0.0;;208.0;20.8;48.0;1014.5
2023-08-12;France;Scotland;30;27;2023 Rugby World Cup warm-up match;Stade Geoffroy-Guichard;Saint-Étienne;France;FALSE;FALSE;;;;;;;;;;
2023-08-05;New Zealand;Australia;23;20;2023 Rugby World Cup warm-up match;Forsyth Barr Stadium;Dunedin;New Zealand;FALSE;FALSE;;;;;;;;;;
2023-08-05;Argentina;South Africa;13;24;2023 Rugby World Cup warm-up match;José Amalfitani;Buenos Aires;Argentina;FALSE;FALSE;Winter;13.0;10.0;15.0;1.7;;101.0;16.0;;1018.1
